strategy,model,budget,metric,value
sliding,baseline,256,detection.macro_avg.recall,0.38945104487582693
sliding,baseline,256,detection.macro_avg.f1,0.35319558175682164
sliding,baseline,256,agenda_completeness,0.3625
sliding,baseline,256,hardware.avg_latency_ms,172.89716173207438
sliding,baseline,256,hardware.total_relevant,28.05
sliding,baseline,256,hardware.final_buffer_size,10.0
sliding,baseline,256,hardware.final_buffer_tokens,137.85
sliding,baseline,512,n_conversations,20.0
sliding,baseline,512,elapsed_sec,27.6
sliding,baseline,512,rouge.rouge1,0.6920881410208239
sliding,baseline,512,rouge.rouge2,0.5082268180539924
sliding,baseline,512,rouge.rougeL,0.6682033499181951
sliding,baseline,512,bertscore,0.8773582488298416
sliding,baseline,512,detection.agenda_item.precision,0.3217857142857143
sliding,baseline,512,detection.agenda_item.recall,0.325
sliding,baseline,512,detection.agenda_item.f1,0.30559523809523814
sliding,baseline,512,detection.detail.precision,0.6464195420826906
sliding,baseline,512,detection.detail.recall,0.8927658019729631
sliding,baseline,512,detection.detail.f1,0.7357359822432691
sliding,baseline,512,detection.medication.precision,0.35
sliding,baseline,512,detection.medication.recall,0.2833333333333333
sliding,baseline,512,detection.medication.f1,0.2833333333333333
sliding,baseline,512,detection.social_history.precision,0.0
sliding,baseline,512,detection.social_history.recall,0.0
sliding,baseline,512,detection.social_history.f1,0.0
sliding,baseline,512,detection.follow_up.precision,0.025
sliding,baseline,512,detection.follow_up.recall,0.05
sliding,baseline,512,detection.follow_up.f1,0.03333333333333333
sliding,baseline,512,detection.question.precision,0.6811107519931049
sliding,baseline,512,detection.question.recall,0.883304057054057
sliding,baseline,512,detection.question.f1,0.7429332844879635
sliding,baseline,512,detection.question_unanswered.precision,0.0
sliding,baseline,512,detection.question_unanswered.recall,0.0
sliding,baseline,512,detection.question_unanswered.f1,0.0
sliding,baseline,512,detection.irrelevant.precision,0.807465102574005
sliding,baseline,512,detection.irrelevant.recall,0.6812051666462617
sliding,baseline,512,detection.irrelevant.f1,0.7246334825614358
sliding,baseline,512,detection.macro_avg.precision,0.35397263886693936
sliding,baseline,512,detection.macro_avg.recall,0.38945104487582693
sliding,baseline,512,detection.macro_avg.f1,0.35319558175682164
sliding,baseline,512,agenda_completeness,0.3625
sliding,baseline,512,hardware.avg_latency_ms,172.89716173207438
sliding,baseline,512,hardware.total_relevant,28.05
sliding,baseline,512,hardware.final_buffer_size,10.0
sliding,baseline,512,hardware.final_buffer_tokens,137.85
random,baseline,128,n_conversations,20.0
random,baseline,128,elapsed_sec,230.9
random,baseline,128,rouge.rouge1,0.6780624451784188
random,baseline,128,rouge.rouge2,0.49663901821578466
random,baseline,128,rouge.rougeL,0.6527631962651649
random,baseline,128,bertscore,0.8704904675483703
random,baseline,128,detection.agenda_item.precision,0.32083333333333336
