strategy,model,budget,metric,value
sliding,baseline,100,detection.macro_avg.precision,0.3499866829892529
sliding,baseline,100,detection.macro_avg.recall,0.3880112950746567
sliding,baseline,100,detection.macro_avg.f1,0.3507872279655765
sliding,baseline,100,agenda_completeness,0.3583333333333333
sliding,baseline,100,hardware.avg_latency_ms,261.7598938470093
sliding,baseline,100,hardware.total_relevant,29.8
sliding,baseline,100,hardware.final_buffer_size,7.2
sliding,baseline,100,hardware.final_buffer_tokens,92.5
sliding,baseline,128,n_conversations,20.0
sliding,baseline,128,elapsed_sec,99.0
sliding,baseline,128,rouge.rouge1,0.6815811168233397
sliding,baseline,128,rouge.rouge2,0.49471997167832404
sliding,baseline,128,rouge.rougeL,0.6559716398435673
sliding,baseline,128,bertscore,0.8726286232471466
sliding,baseline,128,detection.agenda_item.precision,0.3258333333333333
sliding,baseline,128,detection.agenda_item.recall,0.3375
sliding,baseline,128,detection.agenda_item.f1,0.3209920634920635
sliding,baseline,128,detection.detail.precision,0.6356890766370535
sliding,baseline,128,detection.detail.recall,0.9011427759509602
sliding,baseline,128,detection.detail.f1,0.7296481655459204
sliding,baseline,128,detection.medication.precision,0.275
sliding,baseline,128,detection.medication.recall,0.18333333333333332
sliding,baseline,128,detection.medication.f1,0.2
sliding,baseline,128,detection.social_history.precision,0.0
sliding,baseline,128,detection.social_history.recall,0.0
sliding,baseline,128,detection.social_history.f1,0.0
sliding,baseline,128,detection.follow_up.precision,0.0
sliding,baseline,128,detection.follow_up.recall,0.0
sliding,baseline,128,detection.follow_up.f1,0.0
sliding,baseline,128,detection.question.precision,0.6522247074820604
sliding,baseline,128,detection.question.recall,0.8857643745143745
sliding,baseline,128,detection.question.f1,0.7265883463005997
sliding,baseline,128,detection.question_unanswered.precision,0.0
sliding,baseline,128,detection.question_unanswered.recall,0.0
sliding,baseline,128,detection.question_unanswered.f1,0.0
sliding,baseline,128,detection.irrelevant.precision,0.8066410549740797
sliding,baseline,128,detection.irrelevant.recall,0.6512220734039207
sliding,baseline,128,detection.irrelevant.f1,0.7090880308779294
sliding,baseline,128,detection.macro_avg.precision,0.33692352155331584
sliding,baseline,128,detection.macro_avg.recall,0.3698703196503236
sliding,baseline,128,detection.macro_avg.f1,0.33578957577706414
sliding,baseline,128,agenda_completeness,0.3333333333333333
sliding,baseline,128,hardware.avg_latency_ms,206.5683300145729
sliding,baseline,128,hardware.total_relevant,28.95
sliding,baseline,128,hardware.final_buffer_size,8.8
sliding,baseline,128,hardware.final_buffer_tokens,116.55
sliding,baseline,256,n_conversations,20.0
sliding,baseline,256,elapsed_sec,182.3
sliding,baseline,256,rouge.rouge1,0.6831205256029352
sliding,baseline,256,rouge.rouge2,0.4976003533803728
sliding,baseline,256,rouge.rougeL,0.6587475716911156
sliding,baseline,256,bertscore,0.8735347002744674
sliding,baseline,256,detection.agenda_item.precision,0.32166666666666666
sliding,baseline,256,detection.agenda_item.recall,0.35
sliding,baseline,256,detection.agenda_item.f1,0.3226984126984127
sliding,baseline,256,detection.detail.precision,0.6449606512349015
sliding,baseline,256,detection.detail.recall,0.8890536807608418
sliding,baseline,256,detection.detail.f1,0.7297151579362103
sliding,baseline,256,detection.medication.precision,0.325
sliding,baseline,256,detection.medication.recall,0.20833333333333334
sliding,baseline,256,detection.medication.f1,0.2333333333333333
sliding,baseline,256,detection.social_history.precision,0.0
sliding,baseline,256,detection.social_history.recall,0.0
sliding,baseline,256,detection.social_history.f1,0.0
sliding,baseline,256,detection.follow_up.precision,0.0
sliding,baseline,256,detection.follow_up.recall,0.0
sliding,baseline,256,detection.follow_up.f1,0.0
sliding,baseline,256,detection.question.precision,0.6889801048624579
sliding,baseline,256,detection.question.recall,0.8933040570540571
sliding,baseline,256,detection.question.f1,0.7504573943650145
sliding,baseline,256,detection.question_unanswered.precision,0.0
sliding,baseline,256,detection.question_unanswered.recall,0.0
sliding,baseline,256,detection.question_unanswered.f1,0.0
sliding,baseline,256,detection.irrelevant.precision,0.8062794707758186
sliding,baseline,256,detection.irrelevant.recall,0.6996062407013959
sliding,baseline,256,detection.irrelevant.f1,0.7316942233137473
sliding,baseline,256,detection.macro_avg.precision,0.3483608616924806
sliding,baseline,256,detection.macro_avg.recall,0.3800371639812035
sliding,baseline,256,detection.macro_avg.f1,0.3459873152058398
sliding,baseline,256,agenda_completeness,0.35
sliding,baseline,256,hardware.avg_latency_ms,184.77200433792967
sliding,baseline,256,hardware.total_relevant,28.55
sliding,baseline,256,hardware.final_buffer_size,10.0
sliding,baseline,256,hardware.final_buffer_tokens,137.4
random,baseline,64,n_conversations,20.0
random,baseline,64,elapsed_sec,285.8
random,baseline,64,rouge.rouge1,0.6736495707147206
random,baseline,64,rouge.rouge2,0.47961566076259504
random,baseline,64,rouge.rougeL,0.6473904884062295
random,baseline,64,bertscore,0.867975401878357
random,baseline,64,detection.agenda_item.precision,0.32
random,baseline,64,detection.agenda_item.recall,0.35416666666666663
random,baseline,64,detection.agenda_item.f1,0.3265079365079365
random,baseline,64,detection.detail.precision,0.6094274634324186
random,baseline,64,detection.detail.recall,0.9045601428977388
random,baseline,64,detection.detail.f1,0.7101413201538741
random,baseline,64,detection.medication.precision,0.125
random,baseline,64,detection.medication.recall,0.15
random,baseline,64,detection.medication.f1,0.13333333333333333
random,baseline,64,detection.social_history.precision,0.025
random,baseline,64,detection.social_history.recall,0.025
random,baseline,64,detection.social_history.f1,0.025
random,baseline,64,detection.follow_up.precision,0.0
random,baseline,64,detection.follow_up.recall,0.0
random,baseline,64,detection.follow_up.f1,0.0
random,baseline,64,detection.question.precision,0.6589041660094291
random,baseline,64,detection.question.recall,0.9257384282384283
random,baseline,64,detection.question.f1,0.7444810177035242
random,baseline,64,detection.question_unanswered.precision,0.0
random,baseline,64,detection.question_unanswered.recall,0.0
random,baseline,64,detection.question_unanswered.f1,0.0
random,baseline,64,detection.irrelevant.precision,0.8120407714135028
random,baseline,64,detection.irrelevant.recall,0.6227005586301811
random,baseline,64,detection.irrelevant.f1,0.6895867836105002
random,baseline,64,detection.macro_avg.precision,0.3187965501069188
random,baseline,64,detection.macro_avg.recall,0.37277072455412685
random,baseline,64,detection.macro_avg.f1,0.32863129891364606
random,baseline,64,agenda_completeness,0.32916666666666666
random,baseline,64,hardware.avg_latency_ms,275.85286868950294
random,baseline,64,hardware.total_relevant,31.7
random,baseline,64,hardware.final_buffer_size,4.25
random,baseline,64,hardware.final_buffer_tokens,52.7
random,baseline,100,n_conversations,20.0
random,baseline,100,elapsed_sec,257.8
random,baseline,100,rouge.rouge1,0.6751055893593633
random,baseline,100,rouge.rouge2,0.4897427253444849
random,baseline,100,rouge.rougeL,0.6492022386983229
random,baseline,100,bertscore,0.8692709237337113
random,baseline,100,detection.agenda_item.precision,0.29083333333333333
random,baseline,100,detection.agenda_item.recall,0.2833333333333333
random,baseline,100,detection.agenda_item.f1,0.2730952380952381
random,baseline,100,detection.detail.precision,0.6245333791955684
random,baseline,100,detection.detail.recall,0.8775344558113101
random,baseline,100,detection.detail.f1,0.710740418158439
random,baseline,100,detection.medication.precision,0.175
random,baseline,100,detection.medication.recall,0.13333333333333333
random,baseline,100,detection.medication.f1,0.13333333333333333
random,baseline,100,detection.social_history.precision,0.025
random,baseline,100,detection.social_history.recall,0.025
random,baseline,100,detection.social_history.f1,0.025
random,baseline,100,detection.follow_up.precision,0.0
random,baseline,100,detection.follow_up.recall,0.0
random,baseline,100,detection.follow_up.f1,0.0
random,baseline,100,detection.question.precision,0.663956662532514
random,baseline,100,detection.question.recall,0.8981254856254857
random,baseline,100,detection.question.f1,0.7392112534660098
random,baseline,100,detection.question_unanswered.precision,0.0
random,baseline,100,detection.question_unanswered.recall,0.0
random,baseline,100,detection.question_unanswered.f1,0.0
random,baseline,100,detection.irrelevant.precision,0.7930607787190929
random,baseline,100,detection.irrelevant.recall,0.6497674873624066
random,baseline,100,detection.irrelevant.f1,0.6965711522507364
random,baseline,100,detection.macro_avg.precision,0.3215480192225636
random,baseline,100,detection.macro_avg.recall,0.3583867619332336
random,baseline,100,detection.macro_avg.f1,0.32224392441296956
random,baseline,100,agenda_completeness,0.3458333333333333
random,baseline,100,hardware.avg_latency_ms,251.78985636080128
random,baseline,100,hardware.total_relevant,29.4
random,baseline,100,hardware.final_buffer_size,7.15
random,baseline,100,hardware.final_buffer_tokens,89.75
random,baseline,128,n_conversations,20.0
random,baseline,128,elapsed_sec,233.2
random,baseline,128,rouge.rouge1,0.6757508431938679
random,baseline,128,rouge.rouge2,0.48430126301759957
random,baseline,128,rouge.rougeL,0.6495311397167679
random,baseline,128,bertscore,0.8695721209049225
